year,month,tmax(degC),tmin(degC),af(days),rain(mm),sun(hours),station,latitude,longitude
1986,12,9.3,4.5,0.0,187.9,39.3,aberporth,52.139,4.57
1987,1,4.2,0.0,16.0,18.1,62.0,aberporth,52.139,4.57
1987,2,6.7,1.7,11.0,48.3,74.2,aberporth,52.139,4.57
1987,3,7.3,2.1,10.0,79.7,108.3,aberporth,52.139,4.57
1987,4,13.4,6.7,0.0,50.9,161.6,aberporth,52.139,4.57
1987,5,12.1,7.3,0.0,19.8,193.9,aberporth,52.139,4.57
1987,6,14.3,9.2,0.0,66.8,162.5,aberporth,52.139,4.57
1987,7,17.4,12.1,0.0,45.7,177.6,aberporth,52.139,4.57
1987,8,17.5,12.3,0.0,57.3,185.2,aberporth,52.139,4.57
1987,9,16.3,10.6,0.0,78.2,151.9,aberporth,52.139,4.57
1987,10,12.7,7.0,0.0,219.2,116.1,aberporth,52.139,4.57
1987,11,9.4,5.3,0.0,103.0,88.7,aberporth,52.139,4.57
1987,12,8.2,4.3,6.0,64.7,56.2,aberporth,52.139,4.57
1988,1,7.9,3.7,0.0,164.0,53.0,aberporth,52.139,4.57
1988,2,7.2,2.8,1.0,47.2,82.9,aberporth,52.139,4.57
1988,3,8.5,4.6,2.0,103.3,107.7,aberporth,52.139,4.57
1988,4,11.3,4.9,1.0,40.3,191.7,aberporth,52.139,4.57
1988,5,13.9,7.7,0.0,61.9,225.1,aberporth,52.139,4.57
1988,6,16.4,10.6,0.0,77.1,203.3,aberporth,52.139,4.57
1988,7,15.8,11.0,0.0,76.9,138.2,aberporth,52.139,4.57
1988,8,16.9,11.2,0.0,78.7,161.3,aberporth,52.139,4.57
1988,9,15.3,10.5,0.0,76.4,152.6,aberporth,52.139,4.57
1988,10,13.4,8.4,0.0,98.5,113.1,aberporth,52.139,4.57
1988,11,9.9,3.9,2.0,36.9,97.4,aberporth,52.139,4.57
1988,12,9.8,6.8,0.0,36.9,26.8,aberporth,52.139,4.57
1989,1,8.9,4.6,2.0,69.9,70.9,aberporth,52.139,4.57
1989,2,8.7,3.6,2.0,71.6,79.1,aberporth,52.139,4.57
1989,3,9.9,4.3,3.0,85.1,104.3,aberporth,52.139,4.57
1989,4,9.5,3.4,1.0,63.7,185.1,aberporth,52.139,4.57
1989,5,15.5,8.8,0.0,11.9,265.8,aberporth,52.139,4.57
1989,6,16.7,9.9,0.0,42.2,251.0,aberporth,52.139,4.57
1989,7,19.7,13.0,0.0,34.3,246.2,aberporth,52.139,4.57
1989,8,18.4,12.5,0.0,67.5,225.5,aberporth,52.139,4.57
1989,9,16.4,11.0,0.0,40.0,114.1,aberporth,52.139,4.57
1989,10,13.9,9.6,0.0,104.1,58.2,aberporth,52.139,4.57
1989,11,10.5,5.2,2.0,73.8,96.7,aberporth,52.139,4.57
1989,12,8.0,2.9,3.0,120.2,49.7,aberporth,52.139,4.57
1990,1,9.1,4.8,0.0,118.0,48.0,aberporth,52.139,4.57
1990,2,9.9,4.6,0.0,91.2,64.9,aberporth,52.139,4.57
1990,3,10.5,5.3,0.0,14.4,100.9,aberporth,52.139,4.57
1990,4,11.0,4.6,3.0,20.9,187.0,aberporth,52.139,4.57
1990,5,15.7,8.8,0.0,24.3,259.2,aberporth,52.139,4.57
1990,6,15.7,10.0,0.0,64.4,151.3,aberporth,52.139,4.57
1990,7,20.1,12.7,0.0,33.0,289.9,aberporth,52.139,4.57
1990,8,19.8,13.7,0.0,42.6,195.4,aberporth,52.139,4.57
1990,9,15.7,10.4,0.0,57.6,164.0,aberporth,52.139,4.57
1990,10,14.3,9.9,0.0,108.6,91.7,aberporth,52.139,4.57
1990,11,9.6,5.5,0.0,79.2,78.6,aberporth,52.139,4.57
1990,12,7.5,2.8,3.0,97.5,48.1,aberporth,52.139,4.57
1991,1,6.1,1.2,10.0,97.1,81.4,aberporth,52.139,4.57
1991,2,5.4,0.1,15.0,55.4,83.5,aberporth,52.139,4.57
1991,3,10.0,5.0,0.0,66.5,113.5,aberporth,52.139,4.57
1991,4,10.6,5.0,0.0,77.3,149.9,aberporth,52.139,4.57
1991,5,12.6,7.6,0.0,9.4,192.2,aberporth,52.139,4.57
1991,6,14.3,9.0,0.0,42.6,167.7,aberporth,52.139,4.57
1991,7,19.0,13.0,0.0,79.9,169.9,aberporth,52.139,4.57
1991,8,19.5,12.8,0.0,26.0,208.8,aberporth,52.139,4.57
1991,9,18.2,11.6,0.0,55.6,184.0,aberporth,52.139,4.57
1991,10,12.6,8.1,0.0,142.4,85.5,aberporth,52.139,4.57
1991,11,9.7,5.4,0.0,99.6,29.9,aberporth,52.139,4.57
1991,12,7.9,3.8,4.0,17.7,33.9,aberporth,52.139,4.57
1992,1,7.3,2.1,13.0,47.3,80.8,aberporth,52.139,4.57
1992,2,8.6,4.4,0.0,55.5,59.5,aberporth,52.139,4.57
1992,3,9.6,4.9,0.0,66.8,59.2,aberporth,52.139,4.57
