year,month,tmax(degC),tmin(degC),af(days),rain(mm),sun(hours),station,latitude,longitude
2012,4,11.5,4.9,1.0,124.2,59.105633802816904,chivenor,51.089,4.147
2012,5,16.1,8.3,0.0,55.6,59.09119718309859,chivenor,51.089,4.147
2012,6,17.5,11.6,0.0,160.0,59.07676056338028,chivenor,51.089,4.147
2012,7,18.7,12.5,0.0,114.6,59.06232394366197,chivenor,51.089,4.147
2012,8,20.3,14.4,0.0,102.6,59.04788732394366,chivenor,51.089,4.147
2012,9,17.4,10.9,0.0,81.4,59.03345070422536,chivenor,51.089,4.147
2012,10,14.4,8.4,0.0,169.4,59.01901408450705,chivenor,51.089,4.147
2012,11,11.3,5.5,1.0,125.8,59.00457746478874,chivenor,51.089,4.147
2012,12,10.0,4.1,6.0,197.0,58.99014084507043,chivenor,51.089,4.147
2013,1,8.3,4.0,3.0,94.8,58.97570422535212,chivenor,51.089,4.147
2013,2,7.7,2.5,4.0,58.6,58.96126760563381,chivenor,51.089,4.147
2013,3,7.9,1.7,7.0,58.4,58.9468309859155,chivenor,51.089,4.147
2013,4,11.5,4.8,3.0,32.8,58.93239436619719,chivenor,51.089,4.147
2013,5,14.4,6.7,0.0,82.2,58.917957746478876,chivenor,51.089,4.147
2013,6,18.2,11.1,0.0,21.2,58.903521126760566,chivenor,51.089,4.147
2013,7,23.4,13.8,0.0,22.2,58.889084507042256,chivenor,51.089,4.147
2013,8,20.7,13.9,0.0,83.2,58.874647887323945,chivenor,51.089,4.147
2013,9,18.6,12.2,0.0,82.2,58.860211267605635,chivenor,51.089,4.147
2013,10,16.7,11.3,0.0,135.5,58.845774647887325,chivenor,51.089,4.147
2013,11,11.5,5.3,3.0,96.2,58.831338028169014,chivenor,51.089,4.147
2013,12,11.1,4.5,1.0,142.4,58.816901408450704,chivenor,51.089,4.147
2014,1,10.1,4.5,0.0,153.1,58.8024647887324,chivenor,51.089,4.147
2014,2,10.1,4.7,0.0,144.9,58.78802816901409,chivenor,51.089,4.147
2014,3,12.3,4.3,0.0,52.8,58.77359154929578,chivenor,51.089,4.147
2014,4,14.3,7.1,0.0,71.3,58.75915492957747,chivenor,51.089,4.147
2014,5,16.3,9.7,0.0,70.2,58.74471830985916,chivenor,51.089,4.147
2014,6,20.1,11.9,0.0,77.2,58.73028169014085,chivenor,51.089,4.147
2014,7,21.8,13.8,0.0,42.4,58.71584507042254,chivenor,51.089,4.147
2014,8,19.3,12.7,0.0,118.0,58.70140845070423,chivenor,51.089,4.147
2014,9,20.7,11.6,0.0,9.6,58.68697183098592,chivenor,51.089,4.147
2014,10,16.9,11.0,0.0,90.2,58.67253521126761,chivenor,51.089,4.147
2014,11,12.7,6.4,2.0,81.0,58.6580985915493,chivenor,51.089,4.147
2014,12,10.1,4.2,3.0,85.3,58.64366197183099,chivenor,51.089,4.147
2015,1,9.6,4.0,4.0,135.0,58.62922535211268,chivenor,51.089,4.147
2015,2,8.4,2.4,7.0,79.0,58.61478873239437,chivenor,51.089,4.147
2015,3,10.9,3.7,2.0,53.4,58.60035211267606,chivenor,51.089,4.147
2015,4,14.9,6.1,0.0,23.0,58.58591549295775,chivenor,51.089,4.147
2015,5,14.8,8.8,0.0,76.0,58.57147887323944,chivenor,51.089,4.147
2015,6,18.3,10.9,0.0,44.4,58.55704225352113,chivenor,51.089,4.147
2015,7,19.5,13.0,0.0,81.8,58.54260563380282,chivenor,51.089,4.147
2015,8,19.8,12.4,0.0,132.4,58.52816901408451,chivenor,51.089,4.147
2015,9,17.8,9.8,0.0,85.8,58.5137323943662,chivenor,51.089,4.147
2015,10,15.8,8.8,0.0,64.4,58.49929577464789,chivenor,51.089,4.147
2015,11,13.8,9.1,1.0,109.4,58.48485915492958,chivenor,51.089,4.147
2015,12,13.5,9.5,0.0,122.2,58.47042253521127,chivenor,51.089,4.147
2016,1,10.3,5.0,2.0,139.0,58.45598591549296,chivenor,51.089,4.147
2016,2,9.3,3.4,5.0,83.2,58.44154929577465,chivenor,51.089,4.147
2016,3,10.7,3.0,3.0,78.8,58.42711267605634,chivenor,51.089,4.147
2016,4,12.6,5.0,2.0,38.6,58.41267605633803,chivenor,51.089,4.147
2016,5,17.9,8.9,0.0,43.0,58.39823943661972,chivenor,51.089,4.147
2016,6,18.9,12.7,0.0,103.2,58.38380281690141,chivenor,51.089,4.147
2016,7,20.2,13.9,0.0,27.6,58.369366197183105,chivenor,51.089,4.147
2016,8,20.9,13.8,0.0,62.0,58.354929577464794,chivenor,51.089,4.147
2016,9,19.7,13.4,0.0,79.0,58.340492957746484,chivenor,51.089,4.147
2016,10,15.2,8.0,0.0,32.0,58.326056338028174,chivenor,51.089,4.147
2016,11,10.9,5.1,3.0,143.4,58.31161971830986,chivenor,51.089,4.147
2016,12,10.6,4.8,3.0,45.8,58.29718309859155,chivenor,51.089,4.147
2017,1,9.0,3.7,5.0,91.4,58.28274647887324,chivenor,51.089,4.147
2017,2,10.3,5.2,0.0,54.0,58.26830985915493,chivenor,51.089,4.147
2017,3,12.6,6.6,1.0,92.4,58.25387323943662,chivenor,51.089,4.147
2017,4,13.6,5.7,1.0,25.2,58.23943661971831,chivenor,51.089,4.147
2017,5,17.7,9.8,0.0,35.2,58.225,chivenor,51.089,4.147
2017,6,20.2,12.7,0.0,60.2,58.21056338028169,chivenor,51.089,4.147
2017,7,20.2,13.8,0.0,130.4,58.19612676056338,chivenor,51.089,4.147
2017,8,19.6,12.9,0.0,86.2,58.18169014084508,chivenor,51.089,4.147
2017,9,17.7,11.3,0.0,114.2,58.16725352112677,chivenor,51.089,4.147
2017,10,16.2,11.4,0.0,50.2,58.15281690140846,chivenor,51.089,4.147
2017,11,12.3,5.9,0.0,81.4,58.13838028169015,chivenor,51.089,4.147
2017,12,10.2,4.9,0.0,116.0,58.123943661971836,chivenor,51.089,4.147
2018,1,9.8,4.1,4.0,94.4,58.109507042253526,chivenor,51.089,4.147
2018,2,7.5,1.9,8.0,39.0,58.095070422535215,chivenor,51.089,4.147
2018,3,9.3,3.0,7.0,113.4,58.080633802816905,chivenor,51.089,4.147
2018,4,14.2,7.0,0.0,67.8,58.066197183098595,chivenor,51.089,4.147
2018,5,17.7,8.9,0.0,36.6,58.051760563380284,chivenor,51.089,4.147
2018,6,22.5,12.7,0.0,3.8,58.037323943661974,chivenor,51.089,4.147
2018,7,23.4,14.0,0.0,33.4,58.022887323943664,chivenor,51.089,4.147
2018,8,20.4,14.0,0.0,88.0,58.00845070422535,chivenor,51.089,4.147
2018,9,18.5,11.1,0.0,83.6,57.99401408450704,chivenor,51.089,4.147
2018,10,15.3,8.3,2.0,63.4,57.97957746478873,chivenor,51.089,4.147
2018,11,12.3,6.6,1.0,96.2,57.96514084507042,chivenor,51.089,4.147
2018,12,11.5,6.5,0.0,109.8,57.95070422535211,chivenor,51.089,4.147
2019,1,8.6,3.8,5.0,50.6,57.93626760563381,chivenor,51.089,4.147
2019,2,12.4,4.2,2.0,60.6,57.9218309859155,chivenor,51.089,4.147
2019,3,11.8,5.8,0.0,78.6,57.90739436619719,chivenor,51.089,4.147
2019,4,14.8,6.0,0.0,75.0,57.89295774647888,chivenor,51.089,4.147
2019,5,16.3,7.8,0.0,22.2,57.87852112676057,chivenor,51.089,4.147
2019,6,18.5,11.7,0.0,102.4,57.86408450704226,chivenor,51.089,4.147
2019,7,22.3,13.6,0.0,39.8,57.84964788732395,chivenor,51.089,4.147
2019,8,21.0,14.1,0.0,88.8,57.83521126760564,chivenor,51.089,4.147
2019,9,18.9,12.4,0.0,151.8,57.820774647887326,chivenor,51.089,4.147
2019,10,15.0,9.2,0.0,167.0,57.806338028169016,chivenor,51.089,4.147
2019,11,11.0,5.9,0.0,142.2,57.791901408450705,chivenor,51.089,4.147
2019,12,10.3,4.2,3.0,129.2,57.777464788732395,chivenor,51.089,4.147
2020,1,10.3,4.9,5.0,89.6,57.763028169014085,chivenor,51.089,4.147
2020,2,10.5,5.2,0.0,145.8,57.74859154929578,chivenor,51.089,4.147
2020,3,11.3,4.4,1.0,70.8,57.73415492957747,chivenor,51.089,4.147
2020,4,17.2,6.7,0.0,32.6,57.71971830985916,chivenor,51.089,4.147
2020,5,18.7,8.0,0.0,7.8,57.70528169014085,chivenor,51.089,4.147
2020,6,19.4,11.5,0.0,117.4,57.69084507042254,chivenor,51.089,4.147
2020,7,19.0,12.6,0.0,52.4,57.67640845070423,chivenor,51.089,4.147
2020,8,21.2,14.5,0.0,115.4,57.66197183098592,chivenor,51.089,4.147
2020,9,18.7,11.4,0.0,56.0,57.64753521126761,chivenor,51.089,4.147
2020,10,14.4,9.2,0.0,142.4,57.6330985915493,chivenor,51.089,4.147
2020,11,13.1,6.7,3.0,70.4,57.61866197183099,chivenor,51.089,4.147
2020,12,9.9,4.8,4.0,181.4,57.60422535211268,chivenor,51.089,4.147
2021,1,8.2,2.4,12.0,133.2,57.58978873239437,chivenor,51.089,4.147
2021,2,9.8,3.8,5.0,63.0,57.57535211267606,chivenor,51.089,4.147
2021,3,11.6,4.3,4.0,33.4,57.56091549295775,chivenor,51.089,4.147
2021,4,13.2,3.2,4.0,5.6,57.54647887323944,chivenor,51.089,4.147
2021,5,14.7,7.3,0.0,135.8,57.532042253521126,chivenor,51.089,4.147
2021,6,19.9,11.6,0.0,35.0,57.517605633802816,chivenor,51.089,4.147
2021,7,22.1,14.0,0.0,101.2,57.50316901408451,chivenor,51.089,4.147
2021,8,20.1,12.8,0.0,38.2,57.4887323943662,chivenor,51.089,4.147
2021,9,20.3,12.6,0.0,62.2,57.47429577464789,chivenor,51.089,4.147
2021,10,16.5,10.2,0.0,124.8,57.45985915492958,chivenor,51.089,4.147
2021,11,12.3,6.7,1.0,46.4,57.44542253521127,chivenor,51.089,4.147
2021,12,11.4,6.6,0.0,80.2,57.43098591549296,chivenor,51.089,4.147
2022,1,9.8,3.3,8.0,56.4,57.41654929577465,chivenor,51.089,4.147
2022,2,11.1,5.5,0.0,74.0,57.40211267605634,chivenor,51.089,4.147
2022,3,13.2,4.5,0.0,26.4,57.38767605633803,chivenor,51.089,4.147
2022,4,14.9,5.7,2.0,33.8,57.37323943661972,chivenor,51.089,4.147
2022,5,17.2,9.8,0.0,33.0,57.35880281690141,chivenor,51.089,4.147
2022,6,19.9,10.9,0.0,42.2,57.3443661971831,chivenor,51.089,4.147
2022,7,22.8,13.6,0.0,14.6,57.329929577464796,chivenor,51.089,4.147
2022,8,24.2,13.9,0.0,32.2,57.315492957746486,chivenor,51.089,4.147
2022,9,19.1,11.6,0.0,95.2,57.301056338028175,chivenor,51.089,4.147
2022,10,17.5,11.0,0.0,76.6,57.286619718309865,chivenor,51.089,4.147
2022,11,13.2,8.2,0.0,157.6,57.272183098591555,chivenor,51.089,4.147
2022,12,8.5,2.3,10.0,82.4,57.257746478873244,chivenor,51.089,4.147
2023,1,9.8,3.8,7.0,95.4,57.243309859154934,chivenor,51.089,4.147
2023,2,10.4,3.7,7.0,13.0,57.22887323943662,chivenor,51.089,4.147
2023,3,11.3,5.6,2.0,128.0,57.21443661971831,chivenor,51.089,4.147
1980,1,4.1,0.8,19.0,129.1,35.9,cwmystwyth,52.358,3.802
1980,2,7.5,2.5,4.0,165.8,35.8,cwmystwyth,52.358,3.802
1980,3,6.0,0.5,11.0,175.9,55.2,cwmystwyth,52.358,3.802
1980,4,11.0,1.8,7.0,27.0,142.3,cwmystwyth,52.358,3.802
1980,5,14.5,5.0,1.0,61.6,202.1,cwmystwyth,52.358,3.802
1980,6,14.3,8.5,0.0,213.5,100.3,cwmystwyth,52.358,3.802
1980,7,16.3,8.8,0.0,86.8,118.7,cwmystwyth,52.358,3.802
1980,8,16.9,10.2,0.0,137.4,80.0,cwmystwyth,52.358,3.802
1980,9,15.6,9.9,0.0,110.6,88.5,cwmystwyth,52.358,3.802
1980,10,10.5,4.2,4.0,226.3,61.7,cwmystwyth,52.358,3.802
1980,11,7.3,3.2,9.0,211.3,50.2,cwmystwyth,52.358,3.802
1980,12,7.4,2.0,10.0,250.2,22.1,cwmystwyth,52.358,3.802
1981,1,6.4,0.9,15.0,191.6,26.6,cwmystwyth,52.358,3.802
1981,2,4.6,0.6,17.0,103.1,68.5,cwmystwyth,52.358,3.802
1981,3,8.9,4.0,3.0,350.0,57.0,cwmystwyth,52.358,3.802
1981,4,10.2,3.0,8.0,66.1,137.8,cwmystwyth,52.358,3.802
1981,5,12.8,5.9,2.0,143.4,96.8,cwmystwyth,52.358,3.802
1981,6,13.7,8.1,0.0,71.6,79.3,cwmystwyth,52.358,3.802
1981,7,15.9,10.0,0.0,113.4,101.9,cwmystwyth,52.358,3.802
1981,8,18.3,10.4,0.0,87.5,168.9,cwmystwyth,52.358,3.802
1981,9,16.0,8.7,0.0,250.7,92.5,cwmystwyth,52.358,3.802
1981,10,9.7,3.6,4.0,356.1,64.2,cwmystwyth,52.358,3.802
1981,11,9.2,3.9,2.0,168.0,32.6,cwmystwyth,52.358,3.802
1981,12,2.9,2.6,23.0,130.2,22.6,cwmystwyth,52.358,3.802
1982,1,5.838050138730944,2.436362036061657,17.0,170.8,34.4,cwmystwyth,52.358,3.802
1982,2,6.9,1.4,11.0,98.1,49.9,cwmystwyth,52.358,3.802
1982,3,8.0,1.1,9.0,174.0,105.9,cwmystwyth,52.358,3.802
1982,4,10.9,2.4,6.0,43.5,141.8,cwmystwyth,52.358,3.802
1982,5,13.7,4.9,6.0,42.2,156.3,cwmystwyth,52.358,3.802
1982,6,17.5,9.5,0.0,142.9,123.0,cwmystwyth,52.358,3.802
1982,7,18.5,10.8,0.0,40.6,138.3,cwmystwyth,52.358,3.802
1982,8,16.6,10.4,0.0,192.5,101.2,cwmystwyth,52.358,3.802
1982,9,16.6,8.2,0.0,149.8,91.5,cwmystwyth,52.358,3.802
1982,10,11.9,5.8,2.0,155.4,62.1,cwmystwyth,52.358,3.802
1982,11,9.1,4.2,6.0,247.5,25.9,cwmystwyth,52.358,3.802
1982,12,6.3,1.1,14.0,207.3,11.5,cwmystwyth,52.358,3.802
1983,1,7.7,3.0,4.0,297.6,17.2,cwmystwyth,52.358,3.802
1983,2,3.4,1.4,19.0,94.1,87.3,cwmystwyth,52.358,3.802
1983,3,7.6,1.9,8.0,169.6,31.9,cwmystwyth,52.358,3.802
1983,4,8.8,0.8,11.0,154.1,118.2,cwmystwyth,52.358,3.802
1983,5,11.7,4.9,0.0,124.7,101.2,cwmystwyth,52.358,3.802
1983,6,15.9,8.7,0.0,104.9,100.6,cwmystwyth,52.358,3.802
1983,7,22.4,12.2,0.0,40.0,202.6,cwmystwyth,52.358,3.802
1983,8,20.0,10.5,0.0,162.0,191.3,cwmystwyth,52.358,3.802
1983,9,14.9,9.0,0.0,217.1,75.0,cwmystwyth,52.358,3.802
1983,10,11.6,5.9,3.0,265.8,73.2,cwmystwyth,52.358,3.802
1983,11,9.0,4.0,6.0,133.2,46.6,cwmystwyth,52.358,3.802
1983,12,8.2,2.7,8.0,212.4,35.5,cwmystwyth,52.358,3.802
1984,1,5.7,0.3,11.0,254.7,22.0,cwmystwyth,52.358,3.802
1984,2,5.9,0.1,15.0,126.4,46.9,cwmystwyth,52.358,3.802
1984,3,5.9,0.5,14.0,65.6,51.6,cwmystwyth,52.358,3.802
1984,4,11.9,2.4,11.0,19.1,201.7,cwmystwyth,52.358,3.802
1984,5,13.5,3.6,4.0,44.7,198.0,cwmystwyth,52.358,3.802
1984,6,16.3,8.1,0.0,88.7,148.3,cwmystwyth,52.358,3.802
1984,7,19.5,9.2,0.0,46.2,239.3,cwmystwyth,52.358,3.802
1984,8,20.2,10.9,0.0,88.1,170.9,cwmystwyth,52.358,3.802
1984,9,14.6,8.6,0.0,241.0,93.2,cwmystwyth,52.358,3.802
1984,10,12.9,6.3,1.0,224.3,87.6,cwmystwyth,52.358,3.802
1984,11,8.7,3.8,4.0,253.5,34.1,cwmystwyth,52.358,3.802
1984,12,7.3,1.9,6.0,177.8,30.2,cwmystwyth,52.358,3.802
1985,1,3.0,3.0,27.0,91.7,44.1,cwmystwyth,52.358,3.802
1985,2,4.9,0.5,11.0,67.3,88.1,cwmystwyth,52.358,3.802
1985,3,6.4,0.2,16.0,100.6,86.4,cwmystwyth,52.358,3.802
1985,4,10.1,3.4,5.0,158.2,99.0,cwmystwyth,52.358,3.802
1985,5,13.1,5.1,2.0,66.4,162.3,cwmystwyth,52.358,3.802
1985,6,14.3,6.6,1.0,259.0,147.8,cwmystwyth,52.358,3.802
1985,7,17.4,10.7,0.0,133.2,154.4,cwmystwyth,52.358,3.802
1985,8,15.0,9.8,0.0,213.9,86.4,cwmystwyth,52.358,3.802
1985,9,16.8,9.8,0.0,89.3,96.5,cwmystwyth,52.358,3.802
1985,10,13.0,6.3,1.0,103.5,97.0,cwmystwyth,52.358,3.802
1985,11,6.0,0.4,14.0,117.1,51.7,cwmystwyth,52.358,3.802
1985,12,8.839541251847656,3.9228025885265523,14.5,119.35650568475552,34.400000000000006,cwmystwyth,52.358,3.802
1986,1,4.8,0.4,15.0,253.3,17.1,cwmystwyth,52.358,3.802
1986,2,0.1,4.9,26.0,9.6,116.5,cwmystwyth,52.358,3.802
1986,3,6.9,0.8,9.0,188.1,82.2,cwmystwyth,52.358,3.802
1986,4,7.0,0.5,11.0,100.3,101.7,cwmystwyth,52.358,3.802
1986,5,12.1,6.1,0.0,109.3,140.3,cwmystwyth,52.358,3.802
1986,6,17.8,9.5,0.0,52.6,141.2,cwmystwyth,52.358,3.802
1986,7,16.0,10.1,0.0,196.7,91.0,cwmystwyth,52.358,3.802
1986,8,14.7,7.9,0.0,154.0,104.0,cwmystwyth,52.358,3.802
1986,9,13.8,5.2,2.0,26.4,138.7,cwmystwyth,52.358,3.802
1986,10,12.8,6.6,1.0,201.9,79.7,cwmystwyth,52.358,3.802
1986,11,9.5,3.4,1.0,315.4,57.2,cwmystwyth,52.358,3.802
1986,12,7.8,2.5,8.0,356.4,25.7,cwmystwyth,52.358,3.802
1987,1,3.0,1.7,19.0,66.3,47.7,cwmystwyth,52.358,3.802
1987,2,5.6,0.1,16.0,103.2,61.4,cwmystwyth,52.358,3.802
1987,3,5.2,0.5,16.0,189.1,78.0,cwmystwyth,52.358,3.802
1987,4,12.6,5.0,2.0,132.3,137.5,cwmystwyth,52.358,3.802
1987,5,12.0,3.9,6.0,103.1,179.1,cwmystwyth,52.358,3.802
1987,6,13.6,7.0,1.0,146.4,93.1,cwmystwyth,52.358,3.802
1987,7,17.3,9.8,0.0,167.8,131.3,cwmystwyth,52.358,3.802
1987,8,17.0,9.9,0.0,94.3,145.8,cwmystwyth,52.358,3.802
1987,9,15.2,8.4,1.0,133.6,123.3,cwmystwyth,52.358,3.802
1987,10,11.5,5.4,3.0,290.2,88.6,cwmystwyth,52.358,3.802
1987,11,8.1,2.9,7.0,194.8,55.6,cwmystwyth,52.358,3.802
1987,12,6.7,2.7,7.0,152.2,28.8,cwmystwyth,52.358,3.802
1988,1,6.6,2.2,4.0,252.4,27.8,cwmystwyth,52.358,3.802
1988,2,6.6,0.7,12.0,90.8,70.7,cwmystwyth,52.358,3.802
1988,3,7.1,2.4,7.0,264.9,53.2,cwmystwyth,52.358,3.802
1988,4,11.0,3.0,5.0,43.5,148.5,cwmystwyth,52.358,3.802
1988,5,14.3,5.7,1.0,116.4,158.9,cwmystwyth,52.358,3.802
1988,6,17.1,8.6,0.0,47.6,177.5,cwmystwyth,52.358,3.802
1988,7,14.7,9.7,0.0,233.8,83.4,cwmystwyth,52.358,3.802
1988,8,16.1,9.4,0.0,226.2,107.8,cwmystwyth,52.358,3.802
1988,9,14.6,7.7,1.0,249.9,119.5,cwmystwyth,52.358,3.802
1988,10,12.3,5.8,2.0,153.4,84.3,cwmystwyth,52.358,3.802
1988,11,8.9,1.1,14.0,96.5,71.1,cwmystwyth,52.358,3.802
1988,12,8.6,4.7,2.0,159.8,15.9,cwmystwyth,52.358,3.802
1989,1,7.7,2.7,4.0,122.4,46.3,cwmystwyth,52.358,3.802
1989,2,7.3,2.0,9.0,201.2,63.9,cwmystwyth,52.358,3.802
1989,3,9.2,2.4,7.0,205.4,71.7,cwmystwyth,52.358,3.802
1989,4,8.5,0.8,13.0,121.1,130.7,cwmystwyth,52.358,3.802
1989,5,16.1,7.1,0.0,34.2,214.4,cwmystwyth,52.358,3.802
1989,6,16.9,7.5,1.0,104.1,198.6,cwmystwyth,52.358,3.802
1989,7,20.4,11.3,0.0,49.6,223.1,cwmystwyth,52.358,3.802
1989,8,17.4,10.2,0.0,127.4,173.8,cwmystwyth,52.358,3.802
1989,9,16.1,8.4,0.0,94.6,106.1,cwmystwyth,52.358,3.802
1989,10,13.1,7.3,0.0,291.3,59.6,cwmystwyth,52.358,3.802
1989,11,9.0,3.3,5.0,144.5,68.5,cwmystwyth,52.358,3.802
1989,12,6.6,1.1,7.0,193.2,20.1,cwmystwyth,52.358,3.802
1990,1,7.9,3.5,3.0,293.1,31.7,cwmystwyth,52.358,3.802
1990,2,8.6,3.2,1.0,245.5,35.3,cwmystwyth,52.358,3.802
1990,3,9.8,3.9,4.0,74.5,84.5,cwmystwyth,52.358,3.802
1990,4,10.3,2.3,8.0,91.4,164.0,cwmystwyth,52.358,3.802
1990,5,16.3,6.5,1.0,45.6,245.7,cwmystwyth,52.358,3.802
1990,6,14.6,8.2,0.0,142.2,93.1,cwmystwyth,52.358,3.802
1990,7,19.9,10.4,0.0,95.2,258.8,cwmystwyth,52.358,3.802
1990,8,19.1,11.8,0.0,131.3,143.4,cwmystwyth,52.358,3.802
1990,9,14.6,6.9,0.0,181.7,146.7,cwmystwyth,52.358,3.802
1990,10,12.9,7.6,0.0,227.7,67.3,cwmystwyth,52.358,3.802
1990,11,7.9,2.9,8.0,157.6,46.2,cwmystwyth,52.358,3.802
1990,12,6.1,0.4,15.0,264.6,26.6,cwmystwyth,52.358,3.802
1991,1,4.7,0.3,18.0,147.9,49.3,cwmystwyth,52.358,3.802
1991,2,3.7,2.6,19.0,156.4,59.0,cwmystwyth,52.358,3.802
1991,3,9.4,3.4,6.0,115.4,78.3,cwmystwyth,52.358,3.802
1991,4,9.9,2.9,6.0,174.4,119.0,cwmystwyth,52.358,3.802
1991,5,13.1,5.1,3.0,27.1,143.8,cwmystwyth,52.358,3.802
1991,6,13.2,7.0,2.0,127.4,108.9,cwmystwyth,52.358,3.802
1991,7,18.8,11.8,0.0,132.5,131.7,cwmystwyth,52.358,3.802
1991,8,18.6,10.5,0.0,118.9,160.8,cwmystwyth,52.358,3.802
1991,9,17.6,8.6,0.0,145.1,159.1,cwmystwyth,52.358,3.802
1991,10,11.2,5.6,2.0,186.4,82.2,cwmystwyth,52.358,3.802
1991,11,8.2,2.9,6.0,241.0,35.6,cwmystwyth,52.358,3.802
1991,12,6.7,1.9,8.0,115.7,38.2,cwmystwyth,52.358,3.802
1992,1,5.9,0.3,16.0,111.0,70.8,cwmystwyth,52.358,3.802
1992,2,7.4,1.8,7.0,106.6,36.0,cwmystwyth,52.358,3.802
1992,3,8.3,2.8,4.0,261.3,54.2,cwmystwyth,52.358,3.802
1992,4,10.4,3.3,5.0,135.1,106.5,cwmystwyth,52.358,3.802
1992,5,16.5,7.4,1.0,93.5,220.1,cwmystwyth,52.358,3.802
1992,6,18.7,8.0,0.0,55.0,200.7,cwmystwyth,52.358,3.802
1992,7,17.8,10.9,0.0,115.5,126.9,cwmystwyth,52.358,3.802
1992,8,15.8,9.4,0.0,257.4,126.5,cwmystwyth,52.358,3.802
1992,9,14.8,8.3,0.0,136.5,95.2,cwmystwyth,52.358,3.802
1992,10,9.4,3.3,7.0,202.1,71.7,cwmystwyth,52.358,3.802
1992,11,9.2,3.8,3.0,290.2,29.1,cwmystwyth,52.358,3.802
1992,12,5.8,0.5,15.0,211.0,40.8,cwmystwyth,52.358,3.802
1993,1,7.8,2.4,4.0,299.7,21.4,cwmystwyth,52.358,3.802
1993,2,6.5,2.0,5.0,34.9,41.2,cwmystwyth,52.358,3.802
1993,3,8.0,2.1,10.0,56.3,76.5,cwmystwyth,52.358,3.802
1993,4,11.3,5.2,2.0,129.8,109.7,cwmystwyth,52.358,3.802
1993,5,14.4,5.7,3.0,118.7,156.4,cwmystwyth,52.358,3.802
1993,6,17.5,8.8,0.0,148.1,172.7,cwmystwyth,52.358,3.802
1993,7,16.0,9.5,0.0,211.6,124.3,cwmystwyth,52.358,3.802
1993,8,16.4,8.3,0.0,139.4,119.6,cwmystwyth,52.358,3.802
1993,9,14.7,7.2,0.0,117.6,106.6,cwmystwyth,52.358,3.802
1993,10,9.8,3.5,9.0,77.3,106.2,cwmystwyth,52.358,3.802
1993,11,7.0,1.1,13.0,139.0,63.5,cwmystwyth,52.358,3.802
1993,12,7.1,1.9,8.0,139.29939547957912,12.4,cwmystwyth,52.358,3.802
1994,1,6.8,1.6,6.0,254.3,39.2,cwmystwyth,52.358,3.802
1994,2,4.6,0.0,13.0,125.9,48.3,cwmystwyth,52.358,3.802
1994,3,8.1,3.3,2.0,323.1,75.7,cwmystwyth,52.358,3.802
1994,4,9.5,2.7,5.0,182.3,121.0,cwmystwyth,52.358,3.802
1994,5,12.8,5.6,0.0,60.5,133.1,cwmystwyth,52.358,3.802
1994,6,15.7,7.9,0.0,93.5,122.1,cwmystwyth,52.358,3.802
1994,7,19.3,10.4,0.0,82.4,165.1,cwmystwyth,52.358,3.802
1994,8,17.0,9.9,0.0,82.9,126.8,cwmystwyth,52.358,3.802
1994,9,13.5,8.1,0.0,160.3,87.0,cwmystwyth,52.358,3.802
1994,10,12.8,6.1,3.0,229.7,113.4,cwmystwyth,52.358,3.802
1994,11,11.3,7.3,1.0,143.6,32.2,cwmystwyth,52.358,3.802
1994,12,8.4,3.2,5.0,350.1,35.2,cwmystwyth,52.358,3.802
1995,1,6.5,1.3,11.0,324.2,29.2,cwmystwyth,52.358,3.802
1995,2,7.6,2.8,3.0,252.4,31.8,cwmystwyth,52.358,3.802
1995,3,7.0,0.3,16.0,141.1,107.7,cwmystwyth,52.358,3.802
1995,4,11.2,3.4,3.0,77.7,159.8,cwmystwyth,52.358,3.802
1995,5,14.3,5.5,4.0,77.7,157.8,cwmystwyth,52.358,3.802
1995,6,16.8,7.8,0.0,62.1,210.4,cwmystwyth,52.358,3.802
1995,7,20.6,12.0,0.0,114.5,178.8,cwmystwyth,52.358,3.802
1995,8,23.2,11.9,0.0,24.3,242.4,cwmystwyth,52.358,3.802
1995,9,15.3,7.7,0.0,153.1,118.0,cwmystwyth,52.358,3.802
1995,10,15.4,9.0,0.0,85.1,97.7,cwmystwyth,52.358,3.802
1995,11,9.8,3.6,5.0,102.2,62.9,cwmystwyth,52.358,3.802
1995,12,4.3,0.9,17.0,100.9,36.7,cwmystwyth,52.358,3.802
1996,1,5.3,1.5,11.0,69.9,23.9,cwmystwyth,52.358,3.802
1996,2,4.5,1.6,22.0,171.5,78.5,cwmystwyth,52.358,3.802
1996,3,6.5,0.6,12.0,70.8,61.8,cwmystwyth,52.358,3.802
1996,4,10.6,3.1,8.0,90.4,102.3,cwmystwyth,52.358,3.802
1996,5,11.5,3.1,7.0,166.9,154.8,cwmystwyth,52.358,3.802
1996,6,17.0,7.5,0.0,56.3,184.5,cwmystwyth,52.358,3.802
1996,7,17.9,9.9,0.0,91.8,164.1,cwmystwyth,52.358,3.802
1996,8,18.4,10.1,0.0,142.3,158.4,cwmystwyth,52.358,3.802
1996,9,16.5,7.9,0.0,85.6,150.4,cwmystwyth,52.358,3.802
1996,10,12.9,7.2,0.0,217.4,59.9,cwmystwyth,52.358,3.802
1996,11,9.32363176086307,3.7078882440546885,6.333333333333333,89.80032635999657,46.4,cwmystwyth,52.358,3.802
